id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,tenth_best_time,total_effort_count,total_athlete_count
8506922,montée des Avirons par D17,Ride,2088.5,101.0,62.8,163.8,256,260.1,264.0,20739,2879
19455779,Etang Salé - St Leu AR,Ride,23781.2,165.4,-25.0,15.6,1613,1778.1,1921.0,8788,1539
16141737,Etang salé Trou d'eau Etang salé ,Ride,44379.8,348.6,15.8,63.8,3861,4014.8,4091.0,4337,826
24095809,Vent dans le faux plat,Ride,1329.0,14.0,92.0,100.0,101,103.2,105.0,68119,7810
25288618,2nd Single Track RDS,Ride,659.7,2.6,53.4,57.2,111,119.0,123.0,2762,313
18788047,Nouvelle partie rds 2018 ,Ride,720.6,7.0,-11.2,-6.6,121,125.4,129.0,1717,293
8151165,voie canniere rn3,Ride,2406.2,0.0,139.3,263.0,308,319.9,326.0,18809,2368
5942362,pont ouaki/pont entre deux,Ride,2145.0,163.0,111.1,247.9,304,311.6,316.0,17738,2707
11202685,Rte des sables-usine du Gol,Ride,2097.5,15.6,7.1,17.7,122,146.3,155.0,72738,6964
17087706,Ligne droite exotica,Ride,1227.7,26.7,68.2,94.9,80,94.4,101.0,38167,4176
18036527,montee du Woaki 97421,Ride,2101.6,103.8,126.8,230.6,203,211.6,215.0,11819,2986
12928902,Rte de pierrefonds,Ride,4540.6,69.8,7.4,62.3,354,356.1,358.0,27302,3800
16903143,montée canots bb croisée lambert ,Ride,1553.0,120.6,51.1,171.7,245,302.0,323.0,1759,706
5103103,notre dame de la paix,Ride,11847.1,1106.4,580.0,1686.4,2862,3052.2,3195.0,2262,987
10729105,ST JO-PG1,Ride,6341.4,453.8,59.2,435.0,966,1036.6,1067.0,10874,1547
13728085,Montée des Lianes - Mica,Ride,4067.8,189.0,438.0,623.0,545,578.7,587.0,15198,1942
6405426,Montée L'Anse,Ride,1690.3,87.8,36.8,119.0,170,208.0,214.0,29930,4999
17258588,Tampon-Berive,Ride,3896.9,69.6,554.0,602.0,371,414.5,431.0,19739,2105
9827970,montee au stop ,Ride,5851.4,358.2,152.3,437.2,781,807.4,824.0,5845,1387
19358372,Rue du bel air,Ride,1774.0,101.3,593.6,694.9,229,262.6,282.0,4078,642
15437615,Montée Piton des Goyaves,Ride,2405.5,88.6,615.0,685.1,286,318.7,336.0,19606,2101
17073484,Piton goyave Punch,Ride,1778.8,30.9,644.1,675.0,181,197.6,205.0,23362,2470
9648074,Chemin Boissy Climb part.,Ride,5779.9,427.0,108.4,535.4,1060,1221.5,1313.0,1904,539
16876091,Rampe de basse vallée,Ride,856.3,64.4,88.8,153.2,118,119.3,121.0,19354,3327
13531564,Mer cassée - Honoré ,Ride,11296.5,203.0,16.4,151.4,850,996.2,1022.0,21663,3964
13917673,sortie enclo / église baril,Ride,14648.1,97.2,5.0,123.2,961,997.2,1003.0,16850,3037
13531634,Charmille,Ride,790.7,19.8,40.2,60.0,60,61.0,nan,21580,3509
25074512,Le Baril / Mare Longue,Ride,4133.3,9.2,71.4,97.6,292,296.2,299.0,23760,4478
13295315,crete 2,Ride,6995.6,514.6,135.0,639.8,1212,1398.5,1474.0,1437,334
13869272,Tout droit depuis Saint Philippe,Ride,3347.7,34.6,8.0,27.0,203,224.1,227.0,21070,3363
5914602,Plateau Vincendo,Ride,723.2,16.0,40.2,53.4,60,61.0,62.0,23185,4325
26760396,Descente crête ,Ride,6244.4,0.0,172.6,595.5,515,554.5,576.0,1155,330
7293370,montee panon,Ride,5392.1,420.5,22.5,359.7,786,847.1,863.0,37534,4106
6290326,Montée de Kelonia,Ride,1484.1,41.4,14.6,54.6,100,118.1,126.0,165236,9440
10957611,chemin carlonnette,Ride,5318.2,323.6,344.8,668.4,817,902.7,950.0,6944,1614
9013601,intégrale Piton Saint Leu par D11 (RN1-> panneau Le Plateau),Ride,6778.9,308.8,17.4,324.0,899,966.7,1001.0,16128,2367
6426359,Colimaçon2,Ride,2696.7,283.7,504.3,742.4,461,500.2,521.0,11124,2478
11246431,Chemin Dubuisson,Ride,4747.4,312.4,33.6,346.0,759,822.4,859.0,5665,1215
6290350,Montée de La Grande Ravine,Ride,1910.8,49.2,13.6,57.0,147,158.2,162.0,157144,9446
